iso3,country,region,subregion,disaggregation,disagg.value,section,Fruit,Vegetables,Legumes,Nuts,Whole grains,Fish,Dairy,Red meat
NIC,Nicaragua,Latin America and the Caribbean,Central America,location,National,Dietary needs,156.5,272.9,28.3,5.8,29.5,17.9,203,49.9
NLD,Netherlands,Europe,Western Europe,location,National,Dietary needs,106.2,117.3,5.3,4.4,84.5,12.9,685.7,47.9
NOR,Norway,Europe,Northern Europe,location,National,Dietary needs,82.3,131.8,1.1,3.5,31,62.5,640.1,85.3
NPL,Nepal,Asia,Southern Asia,location,National,Dietary needs,37.9,193.1,58.7,5.1,62,8.3,63.8,11.5
NRU,Nauru,Oceania,Micronesia,location,National,Dietary needs,,,,,,,,
NZL,New Zealand,Oceania,Australia and New Zealand,location,National,Dietary needs,152.9,128.8,60.3,1.9,63.1,28.3,974.4,55.9
OMN,Oman,Asia,Western Asia,location,National,Dietary needs,120.6,154.9,42.8,17.4,27.6,32.3,402.8,43.3
PAK,Pakistan,Asia,Southern Asia,location,National,Dietary needs,33.9,88.1,11,3.1,80.5,4.4,87.8,27
PAN,Panama,Latin America and the Caribbean,Central America,location,National,Dietary needs,130.9,151.2,64.2,15.8,33.9,24.9,253.9,85.1
PER,Peru,Latin America and the Caribbean,South America,location,National,Dietary needs,227.8,95.6,33.6,7.3,34.5,42.9,319.2,108.9
PHL,Philippines,Asia,South-eastern Asia,location,National,Dietary needs,84.9,110.3,9.2,0.4,52.7,24.6,109.7,25.1
PLW,Palau,Oceania,Micronesia,location,National,Dietary needs,,,,,,,,
PNG,Papua New Guinea,Oceania,Melanesia,location,National,Dietary needs,3.9,81.9,5.1,0.1,114.8,0,38.2,240.8
POL,Poland,Europe,Eastern Europe,location,National,Dietary needs,234.9,178.7,2.9,3.6,21.4,19.2,651.4,69.3
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia,location,National,Dietary needs,,,,,,,,
PRT,Portugal,Europe,Southern Europe,location,National,Dietary needs,420.9,161.2,11.8,3,28.7,56.7,470.3,65.6
PRY,Paraguay,Latin America and the Caribbean,South America,location,National,Dietary needs,93.9,67.7,16.4,6.1,29.4,11.9,327.8,96
PSE,State of Palestine,Asia,Western Asia,location,National,Dietary needs,106.1,139.3,37.8,19.1,13.3,32.5,403.3,40.6
QAT,Qatar,Asia,Western Asia,location,National,Dietary needs,123.1,168.9,38,20.3,15.9,34.3,396.1,39.9
ROU,Romania,Europe,Eastern Europe,location,National,Dietary needs,194.2,358.2,33.1,10.8,5.2,41.4,1006.2,69.5
RUS,Russian Federation,Europe,Eastern Europe,location,National,Dietary needs,90.4,180.9,1,16.6,88.8,34.7,615.2,183.9
RWA,Rwanda,Africa,Eastern Africa,location,National,Dietary needs,122.6,281.1,80.1,7,27.4,24.8,35,4.7
SAU,Saudi Arabia,Asia,Western Asia,location,National,Dietary needs,146.6,147,55.7,25.3,24.3,45.8,374.7,40.4
SDN,Sudan,Africa,Northern Africa,location,National,Dietary needs,82.4,130.6,22.9,14.3,36.3,48.3,107.3,17.3
SEN,Senegal,Africa,Western Africa,location,National,Dietary needs,52.4,73.1,18.2,7.5,70.7,44.1,44.9,7.7
SGP,Singapore,Asia,South-eastern Asia,location,National,Dietary needs,134.2,152.2,15.6,2.6,8.1,50.2,74.6,44.7
SLB,Solomon Islands,Oceania,Melanesia,location,National,Dietary needs,60,173.2,29.2,1.1,11.3,29.9,117.2,66.5
SLE,Sierra Leone,Africa,Western Africa,location,National,Dietary needs,89.3,119.1,22,2.5,64.7,48.3,45.2,10
SLV,El Salvador,Latin America and the Caribbean,Central America,location,National,Dietary needs,124,128.4,35.7,3.2,23.7,10.5,245.6,63
SMR,San Marino,Europe,Southern Europe,location,National,Dietary needs,,,,,,,,
SOM,Somalia,Africa,Eastern Africa,location,National,Dietary needs,,,,,,,,
SRB,Serbia,Europe,Southern Europe,location,National,Dietary needs,148.4,460.9,32.2,4,194.8,17.2,481.1,77.3
SSD,South Sudan,Africa,Eastern Africa,location,National,Dietary needs,,,,,,,,
STP,Sao Tome and Principe,Africa,Middle Africa,location,National,Dietary needs,128.9,36.2,8.6,8.9,25,73.9,142.7,7.8
SUR,Suriname,Latin America and the Caribbean,South America,location,National,Dietary needs,103.3,180.3,71.7,15.4,39.6,25,243.5,75.5
SVK,Slovakia,Europe,Eastern Europe,location,National,Dietary needs,80.3,101.6,4.6,3.4,52.4,8.8,309,29.5
SVN,Slovenia,Europe,Southern Europe,location,National,Dietary needs,76.6,115.1,19.1,9,56,34.3,569.9,59.3
SWE,Sweden,Europe,Northern Europe,location,National,Dietary needs,115,150.8,15.3,5.1,25,35.1,609.9,70.7
SWZ,Eswatini,Africa,Southern Africa,location,National,Dietary needs,92.7,167,11,6.9,0.1,2,70.3,19.1
SYC,Seychelles,Africa,Eastern Africa,location,National,Dietary needs,108.5,215.5,19.6,9.4,38.6,174.7,87.5,18.5
SYR,Syrian Arab Republic,Asia,Western Asia,location,National,Dietary needs,101.6,129.7,37.9,19.5,14.2,32.6,388.9,37.5
TCD,Chad,Africa,Middle Africa,location,National,Dietary needs,42.4,36.7,7.4,9.2,58.5,25,37.8,32.2
TGO,Togo,Africa,Western Africa,location,National,Dietary needs,54.8,148.5,13.7,9.3,61.7,53.9,23.4,13.4
THA,Thailand,Asia,South-eastern Asia,location,National,Dietary needs,97.2,175.6,41.9,1.3,18.1,45.8,92.6,35
TJK,Tajikistan,Asia,Central Asia,location,National,Dietary needs,90.7,53.8,58.2,5.1,46.4,6.6,188.2,51.5
TKM,Turkmenistan,Asia,Central Asia,location,National,Dietary needs,68.6,107.1,32.8,0.8,112.9,11.9,693.6,92
TLS,Timor-Leste,Asia,South-eastern Asia,location,National,Dietary needs,52,140.8,8.7,1.6,19,25.5,68.2,19
